CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ASSAULT,12/31/2017 02:00:00 AM,17-067818,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,1700 TELEGRAPH AV,Oakland,CA,"1700 TELEGRAPH AV
Oakland, CA
(37.806838, -122.270252)"
MOTOR VEHICLE THEFT,12/16/2017 10:40:00 AM,17-065294,VEHICLE THEFT - AUTO,14Y,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810277, -122.245433)"
ASSAULT,02/01/2018 09:22:00 PM,18-005840,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,02X,900 FILBERT ST,Oakland,CA,"900 FILBERT ST
Oakland, CA
(37.80584, -122.284017)"
THEFT/LARCENY,12/18/2017 07:30:00 PM,17-065784,BURGLARY-AUTO,04X,100 GRAND AV,Oakland,CA,"100 GRAND AV
Oakland, CA
(37.811432, -122.265382)"
DISTURBING THE PEACE,02/02/2018 12:00:00 AM,18-006005,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
VANDALISM,12/09/2017 11:30:00 AM,17-919495,VANDALISM,04X,1900 WEBSTER ST,Oakland,CA,"1900 WEBSTER ST
Oakland, CA
(37.807079, -122.26648)"
THEFT/LARCENY,11/28/2017 12:00:00 PM,17-918689,BURGLARY-AUTO,01X,300 CASTRO ST,Oakland,CA,"300 CASTRO ST
Oakland, CA
(37.799376, -122.281688)"
MOTOR VEHICLE THEFT,12/12/2017 09:30:00 PM,17-064684,VEHICLE THEFT - AUTO,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
VANDALISM,11/16/2017 09:37:00 AM,17-059975,VANDALISM [UNDER $400],32X,11000 SAN LEANDRO ST,Oakland,CA,"11000 SAN LEANDRO ST
Oakland, CA
(37.732611, -122.171182)"
VANDALISM,12/10/2017 06:30:00 PM,17-919521,VANDALISM,,PIEDMONT AVE,Oakland,CA,"PIEDMONT AVE
Oakland, CA
"
MOTOR VEHICLE THEFT,12/23/2017 11:36:00 AM,17-066680,VEHICLE THEFT - OTHER VEHICLES,33X,8000 SAN LEANDRO ST,Oakland,CA,"8000 SAN LEANDRO ST
Oakland, CA
(37.749812, -122.192414)"
ASSAULT,01/01/2018 09:19:00 AM,18-000065,BATTERY,32Y,10400 MACARTHUR BLVD,Oakland,CA,"10400 MACARTHUR BLVD
Oakland, CA
(37.743389, -122.152898)"
VANDALISM,01/07/2018 12:00:00 AM,18-001330,VANDALISM,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
VANDALISM,12/05/2017 09:00:00 AM,17-063418,VANDALISM,34X,2000 85TH AV,Oakland,CA,"2000 85TH AV
Oakland, CA
(37.756885, -122.170397)"
ASSAULT,12/31/2017 06:50:00 PM,17-067907,INFLICT CRPL INJ SP/COHAB,27X,5000 CONGRESS AV,Oakland,CA,"5000 CONGRESS AV
Oakland, CA
(37.776685, -122.202477)"
MOTOR VEHICLE THEFT,12/19/2017 12:15:00 PM,17-065872,VEHICLE THEFT - AUTO,19X,1500 16TH AV,Oakland,CA,"1500 16TH AV
Oakland, CA
(37.78943, -122.243166)"
ROBBERY,11/21/2017 07:26:00 PM,17-060927,ROBBERY-FIREARM,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
THEFT/LARCENY,12/07/2017 10:45:00 AM,17-063690,GRAND THEFT FROM PERSON,23X,4000 INTERNATIONAL BLVD,Oakland,CA,"4000 INTERNATIONAL BLVD
Oakland, CA
(37.773876, -122.217943)"
THEFT/LARCENY,11/27/2017 06:30:00 PM,17-918654,BURGLARY-AUTO,14Y,700 WALKER AVE,Oakland,CA,"700 WALKER AVE
Oakland, CA
(37.811446, -122.246945)"
THEFT/LARCENY,01/09/2018 08:00:00 PM,18-001655,BURGLARY-AUTO,33X,9400 D ST,Oakland,CA,"9400 D ST
Oakland, CA
(37.744635, -122.177697)"
VANDALISM,12/11/2017 08:40:00 AM,17-919541,VANDALISM,25X,00 SELKIRK ST,Oakland,CA,"00 SELKIRK ST
Oakland, CA
"
MOTOR VEHICLE THEFT,11/21/2017 05:00:00 PM,17-061092,VEHICLE THEFT - AUTO,23X,3200 E 9TH ST,Oakland,CA,"3200 E 9TH ST
Oakland, CA
(37.77355, -122.228132)"
ASSAULT,01/04/2018 11:44:00 AM,18-000635,ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM,02X,1100 8TH ST,Oakland,CA,"1100 8TH ST
Oakland, CA
(37.804694, -122.287201)"
BURGLARY,01/30/2018 11:55:00 AM,18-005312,BURGLARY-FORCIBLE ENTRY,22Y,3400 LAUREL AV,Oakland,CA,"3400 LAUREL AV
Oakland, CA
(37.794593, -122.205373)"
THEFT/LARCENY,12/05/2017 07:12:00 AM,17-063350,THEFT,23X,4200 INTERNATIONAL BLVD,Oakland,CA,"4200 INTERNATIONAL BLVD
Oakland, CA
(37.772651, -122.215377)"
THEFT/LARCENY,11/27/2017 07:35:00 PM,17-918650,BURGLARY-AUTO,13Z,2000 MOUNTAIN BOULEVARD,Oakland,CA,"2000 MOUNTAIN BOULEVARD
Oakland, CA
(37.827181, -122.209917)"
ASSAULT,01/09/2018 11:34:00 PM,18-001590,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,5100 BANCROFT AV,Oakland,CA,"5100 BANCROFT AV
Oakland, CA
(37.771773, -122.204876)"
THEFT/LARCENY,12/11/2017 11:00:00 AM,17-919540,THEFT,07X,2600 MYRTLE ST,Oakland,CA,"2600 MYRTLE ST
Oakland, CA
(37.817757, -122.278603)"
